key,fullName,email,passportNumber,birthDate,specialNeeds
# Base passenger
passenger-01,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
# fullName variants
passenger-02,L,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-03,Lo,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-06,โลเร็ม อิปซัม,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-07,لوريم إيبسوم,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-08,洛伦·伊普森,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-09,"<marquee>Hacked</marquee>",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-10,"<script>alert(‘Hacked!’);</script>",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-11,"' or 'A' = 'A",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-12,"María González",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-13,"Jean-Claude",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-14,"O'Graham",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-15,"M Q Q",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-16,"X Æ A-12",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-17,"María de la O",acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
# email variants
passenger-18,Loren Ipsum,acme:password@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-19,Loren Ipsum,a@b.e,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-20,Loren Ipsum,a@b.es,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-21,Loren Ipsum,a@b.esx,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
