key,full-name,date-of-birth,passport-number,nationality,reason,issued-at,lifted-at
# Base banned passenger
banned-passenger-01,Lorem ipsum dolor sit ame,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
# full name - standard variations
banned-passenger-02,L,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-03,Lo,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-06,โลเร็ม อิปซัม,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-07,لوريم إيبسوم,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-08,洛伦·伊普森,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-09,<marquee>Hacked</marquee>,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-10,<script>alert(‘Hacked!’);</script>,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-11,' or 'A' = 'A,2021/07/02 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
# full name - no singular values
# date of birth - standard variations
banned-passenger-12,Lorem ipsum dolor sit ame,2000/01/01 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-13,Lorem ipsum dolor sit ame,2000/01/01 0:01,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-14,Lorem ipsum dolor sit ame,2024/12/31 23:59,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-15,Lorem ipsum dolor sit ame,2025/01/01 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
# date of birth - singular values
banned-passenger-16,Lorem ipsum dolor sit ame,2004/02/29 0:00,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-17,Lorem ipsum dolor sit ame,2005/02/28 23:59,A1B2C3D,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
# passport number - variations
banned-passenger-18,Lorem ipsum dolor sit ame,2021/07/02 0:00,A1B2C3,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
banned-passenger-19,Lorem ipsum dolor sit ame,2021/07/02 0:00,AAAAAA,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2021/07/02 0:00, 2021/07/02 0:00
