key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
# Administrators
user-account-administrator-02,true,"UserIdentity{name: 'Admin1', surname: 'Administrator', email: 'admin1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Admin2', surname: 'Administrator', email: 'admin2@acme.com'}",administrator2,administrator2
# Customer
user-account-customer-01,true,"UserIdentity{name: 'María', surname: 'Customer', email: 'maria@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Curro', surname: 'Sur Name', email: 'curro@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'César', surname: 'A Surname', email: 'cesar@acme.com'}",customer3,customer3
#Customers for variations
user-account-customer-04,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV01,customerV01
user-account-customer-05,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV02,customerV02
user-account-customer-06,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV03,customerV03
user-account-customer-07,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV04,customerV04
user-account-customer-08,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV05,customerV05
user-account-customer-09,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV06,customerV06
user-account-customer-10,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV07,customerV07
user-account-customer-11,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV08,customerV08
user-account-customer-12,true,"UserIdentity{name: 'Name1', surname: 'Surname1', email: 'name1@acme.com'}",customerV09,customerV09
